date,prediction,item_name,branch,item_group
2024-12-04,52,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-05,55,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-06,58,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-07,22,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-08,27,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-09,56,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-10,54,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-12-04,7,Lotus (Cookie),allama iqbal town,Cookies
2024-12-05,7,Lotus (Cookie),allama iqbal town,Cookies
2024-12-06,7,Lotus (Cookie),allama iqbal town,Cookies
2024-12-07,3,Lotus (Cookie),allama iqbal town,Cookies
2024-12-08,3,Lotus (Cookie),allama iqbal town,Cookies
2024-12-09,6,Lotus (Cookie),allama iqbal town,Cookies
2024-12-10,7,Lotus (Cookie),allama iqbal town,Cookies
2024-12-03,10,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,8,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-05,7,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-06,9,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-07,10,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-08,8,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-09,9,Classic Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,36,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-05,41,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-06,46,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-07,77,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-08,74,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-09,44,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-10,39,Cadbury (Brownie),allama iqbal town,Brownie
2024-12-04,130,Nutella (Brownie),allama iqbal town,Brownie
2024-12-05,151,Nutella (Brownie),allama iqbal town,Brownie
2024-12-06,145,Nutella (Brownie),allama iqbal town,Brownie
2024-12-07,134,Nutella (Brownie),allama iqbal town,Brownie
2024-12-08,130,Nutella (Brownie),allama iqbal town,Brownie
2024-12-09,135,Nutella (Brownie),allama iqbal town,Brownie
2024-12-10,138,Nutella (Brownie),allama iqbal town,Brownie
2024-12-03,4,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-04,4,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-05,4,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-06,5,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-07,8,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-08,7,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-09,5,Hershey's Fudge (Brownie),allama iqbal town,Brownie
2024-12-03,3,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-04,4,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-05,4,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-06,4,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-07,5,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-08,4,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-09,3,Chocolate Chunk (Brownie),allama iqbal town,Brownie
2024-12-04,10,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-05,10,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-06,10,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-07,11,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-08,13,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-09,10,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-10,10,Belgian Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-04,30,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-05,31,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-06,31,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-07,5,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-08,7,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-09,30,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-10,30,Peanut Butter Stack (Brownie),allama iqbal town,Brownie
2024-12-04,8,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-05,9,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-06,8,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-07,2,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-08,2,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-09,9,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-10,7,Chocolate Heaven 2.5 LBS,allama iqbal town,Cakes
2024-12-04,31,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-05,33,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-06,32,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-07,11,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-08,14,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-09,34,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-10,29,Chocolate Fudge 2.5 LBS,allama iqbal town,Cakes
2024-12-04,113,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-05,113,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-06,114,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-07,61,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-08,43,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-09,116,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-10,112,Malt 2.5 LBS,allama iqbal town,Cakes
2024-12-04,13,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-05,12,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-06,12,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-07,2,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-08,0,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-09,14,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-10,13,Dairy Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-04,6,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-05,7,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-06,6,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-07,3,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-08,3,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-09,7,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-10,6,Coffee 2.5 LBS,allama iqbal town,Cakes
2024-12-04,5,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-05,6,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-06,5,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-07,3,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-08,3,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-09,6,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-12-10,5,Ferrero Rocher 2.5 LBS,allama iqbal town,Cakes
2024-10-06,8,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-07,10,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-08,9,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-09,7,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-10,9,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-11,8,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-10-12,7,Galaxy Chocolate 2.5 LBS,allama iqbal town,Cakes
2024-12-04,11,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-05,11,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-06,12,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-07,3,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-08,0,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-09,12,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-10,11,Lotus Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-04,25,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-05,26,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-06,27,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-07,31,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-08,34,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-09,29,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-10,25,Ferrero Classic 2.5 LBS,allama iqbal town,Cakes
2024-12-04,6,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-05,6,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-06,6,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-07,3,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-08,3,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-09,5,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-10,5,Honey Cake 2.5 LBS,allama iqbal town,Cakes
2024-12-04,19,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-05,21,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-06,22,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-07,3,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-08,1,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-09,20,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-10,18,Lotus Cake 2.5,allama iqbal town,Cakes
2024-12-03,9,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,9,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-05,9,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-06,8,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-07,7,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-08,8,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-09,8,Belgian Malt (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,3,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-05,3,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-06,3,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-07,2,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-08,3,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-09,0,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-10,0,Raspberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-04,39,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-05,44,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-06,44,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-07,35,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-08,30,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-09,43,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-10,42,Nutella 2.5 LBS,allama iqbal town,Cakes
2024-12-04,28,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-05,26,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-06,29,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-07,12,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-08,7,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-09,31,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-10,25,Mousse 2.5 LBS,allama iqbal town,Cakes
2024-12-03,5,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-04,5,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-05,5,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-06,5,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-07,3,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-08,4,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-09,6,Raffaello 2.5 LBS,allama iqbal town,Cakes
2024-12-04,38,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-05,37,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-06,40,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-07,37,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-08,44,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-09,38,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-10,35,Red Velvet 2.5 LBS,allama iqbal town,Cakes
2024-12-04,3,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-05,3,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-06,4,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-07,2,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-08,2,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-09,3,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-10,3,Lotus Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-03,5,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-04,5,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-05,5,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-06,5,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-07,1,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-08,2,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-09,5,Salted Caramel 2.5 LBS,allama iqbal town,Cakes
2024-12-04,121,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-05,125,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-06,130,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-07,20,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-08,8,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-09,133,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-10,119,Three Milk 2.5 LBS,allama iqbal town,Cakes
2024-12-04,3,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-05,3,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-06,3,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-07,3,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-08,1,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-09,1,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-10,4,Strawberry Cheese Cake,allama iqbal town,Cheese Cakes
2024-12-04,14,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-05,15,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-06,15,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-07,1,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-08,1,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-09,15,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-10,13,Nutella Filled (Cookie),allama iqbal town,Cookies
2024-12-04,7,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-05,6,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-06,6,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-07,3,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-08,2,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-09,7,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-10,6,Red Velvet (Cookie),allama iqbal town,Cookies
2024-12-04,12,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-05,12,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-06,12,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-07,15,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-08,16,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-09,13,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-10,11,Triple Chocolate (Cookie),allama iqbal town,Cookies
2024-12-03,9,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,7,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-05,7,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-06,7,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-07,1,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-08,1,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-09,8,Chocolate Cream Cheese (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-08,4,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-09,9,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-10,9,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-11,5,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-12,2,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-13,2,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-10-14,4,After 8 Mint (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-03,13,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-04,13,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-05,14,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-06,15,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-07,4,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
2024-12-08,5,Chocolate Hazelnut (Cup Cakes),allama iqbal town,Cup Cakes
