date,prediction,item_name,branch,item_group
2024-11-09,26,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-10,57,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-11,54,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-12,52,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-13,54,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-14,59,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-15,24,Belgian Chocolate (Brownie),allama iqbal town,Brownie
2024-11-09,3,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-10,13,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-11,13,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-12,13,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-13,15,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-14,14,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-15,7,Salted Caramel (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-09,11,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-10,12,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-11,10,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-12,11,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-13,10,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-14,11,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-15,12,Nutella Donut,allama iqbal town,Mini Donuts
2024-11-09,5,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-10,12,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-11,11,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-12,10,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-13,7,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-14,11,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-15,4,Strawberry (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-09,15,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-10,14,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-11,13,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-12,13,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-13,11,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-14,13,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-15,15,Swiss Dark Chocolate (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-09,19,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-10,15,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-11,15,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-12,16,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-13,16,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-14,19,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-15,18,Red Velvet (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-09,4,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-10,3,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-11,3,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-12,3,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-13,3,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-14,4,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-15,4,Raffaello (Cup Cakes),allama iqbal town,Cup Cakes
2024-11-09,28,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-10,14,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-11,14,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-12,14,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-13,16,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-14,15,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-15,29,Ferrero Rocher Donut,allama iqbal town,Mini Donuts
2024-11-09,10,Walnut Cup Pie,allama iqbal town,Exclusive
